utc_timestamp,cet_cest_timestamp,FR_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,1314
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,1383
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,1464
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,1543
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,1579
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,1482
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,1387
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,1583
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,1814
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,1936
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,1927
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,1846
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,1768
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,1715
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,1693
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,1697
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,1938
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,2301
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,2672
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,3017
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,3289
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,3496
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,3619
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,3887
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,3971
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,4022
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,4034
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,4223
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,4433
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,4504
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,4490
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,4425
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,4247
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,3843
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,3518
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,3270
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,3083
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,2771
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,2381
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,2162
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,1877
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,1692
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,1605
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,1488
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,1367
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,1192
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,1088
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,1038
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,1168
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,1278
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,1376
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,1606
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,1905
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,2182
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,2344
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,2744
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,3217
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,3846
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,4216
