PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. bio,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. bio,Other Kerosene,Gas/diesel oil excl. bio,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2585337.74,x,47909.38,17468,0,15675.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33438.59,27358.73,46610.05,13049.5,11178,50874.98,0,0,0,0,0,31543.85,410.47,992.82,1857.93,1088.78,0,20260.85,442.88,0,0,2905498.06,179761.97
Imports,x,x,4746.62,119041.99,1045596.15,0,959.99,0,3134.99,0,1424.6,0,0,0,0,0,0,809718.62,x,2020862.89,335940,0,46046.8,0,0,0,184597.98,426316.01,0,0,165421.01,9804.02,812722.82,1279800.01,708927.98,37931.99,47040,12284.99,4600,0,68360.02,0,8687.32,7107.64,12973.51,0,0,0,0,0,1770.01,0,0,0,0,0,0,0,0,0,0,119728.75,0,8295546.7,23430.84
Exports,x,x,-1758,-430.07,-785338.38,0,0,0,-7666.49,0,-419.01,0,0,0,0,0,0,-2017819.26,x,-23271.49,-395.99,0,-46951.15,0,0,0,-65641.99,-778227.98,-2023.98,0,-291797.98,-12599,-1284432.62,-1096400,-557656.01,-19881.61,-63924.02,-21957,-5759.99,0,-64520.01,0,-1444.74,-1181.77,-12773.55,0,-6048,-38590.99,0,0,-1680,0,0,0,0,0,0,0,0,0,0,-54067.33,0,-7264658.4,-60537.28
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-55678.2,-462319.98,0,0,-1008.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-519006.19,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-144221.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-144221.99,0
Stock changes,x,x,-908.28,-1806.27,-42269.97,0,-340.01,0,5842.51,0,0,0,0,0,0,0,0,6351.29,x,-2348.5,10031.99,0,-2687.97,0,0,0,413.99,-5852.02,88.01,0,-3569,-946.01,4004.38,6199.98,-5060,871.98,2015.99,312,0,0,759.99,0,0,0,0,0,108.02,-4144.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32931.9,-4035.99
Total primary energy supply,x,x,2080.3,116805.65,217987.79,0,619.98,0,1311.01,0,1005.59,0,0,0,0,0,0,1383588.39,x,2043152.29,363044,0,12083.19,0,0,0,119369.98,-357763.99,-1936.02,0,-274167.99,-3740.99,-523383.62,-272719.99,146212.02,18922.41,-15876.01,-9360.01,-1159.99,0,4600,0,40681.17,33284.6,46810.01,13049.5,5237.98,8140.02,0,0,90.02,0,0,31543.85,410.47,992.82,1857.93,1088.78,0,20260.85,442.88,65661.42,0,3240226.28,138619.55
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-16994.6,-3783.99,-1699.84,-4772.99,0,14256.01,0,22540.01,245740,0,0,-171.99,-8987.01,-21129.61,-64440,-134288.01,-7673.61,-420.02,-78,520,0,-4079.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14536.36,0
Statistical differences,x,x,0,0,2721.63,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2721.63,0
