FLOW,Total net production,Total energy industry,  Coal mines,  Oil and gas extraction,  Patent fuel plants,  Coke ovens,  BKB plants,  Gas works,  Blast furnaces,  Oil refineries,  Coal liquefaction plants,  Liquefaction (LNG) / regasification plants,  Gasification plants for biogases,  Gas-to-liquids (GTL) plants,  Charcoal production plants,  Not elsewhere specified - energy,Total industry,  Iron and steel,  Chemical and petrochemical,  Non-ferrous metals,  Non-metallic minerals,  Transport equipment,  Machinery,  Mining and quarrying,  Food and tobacco,"  Paper, pulp, and printing",  Wood and wood products,  Construction,  Textile and leather,  Not elsewhere specified - industry,Total transport,  Rail,  Pipeline transport,  Not elsewhere specified - transport,Other,  Commercial and public service,  Residential,  Agriculture,  Fishing,  Not elsewhere specified - other
PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoproducer electricity plants,2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,68,421,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,2141,732,360,1049,0,0
Autoproducer CHP plants,19929,1987,0,31,0,0,0,0,0,1956,0,0,0,0,0,0,3923,204,1681,0,27,0,0,85,1217,702,0,0,7,0,0,0,0,0,14019,3344,0,10675,0,0
Autoproducer heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Total autoproducer plants,22569,1987,0,31,0,0,0,0,0,1956,0,0,0,0,0,0,4422,272,2102,0,27,0,0,85,1217,702,3,7,7,0,0,0,0,0,16160,4076,360,11724,0,0
Autoproducer electricity plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Autoproducer CHP plants,27377,7460,0,0,0,0,0,0,0,7460,0,0,0,0,0,0,4360,0,3050,0,0,0,0,0,510,800,0,0,0,0,0,0,0,0,15557,15537,0,20,0,0
Autoproducer heat plants,6767,3800,0,0,0,0,0,0,0,3800,0,0,0,0,0,0,2967,0,1527,0,0,0,0,0,230,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total autoproducer plants,34144,11260,0,0,0,0,0,0,0,11260,0,0,0,0,0,0,7327,0,4577,0,0,0,0,0,740,2010,0,0,0,0,0,0,0,0,15557,15537,0,20,0,0
