,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-6.25385050000000E+04,-1.85064325000000E+05,1.12170420000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-2.53662963533340E+05,1.85064325000000E+05,4.81112779756105E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,2.30700246659750E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.02304473364600E+02,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,5.65766318600001E+04,2.18483147705488E+04,0.00000000000000E+00,0.00000000000000E+00,-1.47792889038101E-12,2.04582132422385E+04,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,5.08333333333334E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.87900000000001E+04,0.00000000000000E+00
Industry - Other metals,2.94994362109174E+04,-,-,5.18088157950339E+04,1.02444050000000E+04,0.00000000000000E+00,1.23376500000000E+03,1.34396667577615E+04,5.54945741675745E+01
