key,share
industry_final_demand_for_other_minerals_crude_oil,6.11500232677480E-02
industry_final_demand_for_other_transport_equipment_crude_oil,0.00000000000000E+00
industry_final_demand_for_other_machinery_crude_oil,1.29112126672000E-02
industry_final_demand_for_other_mining_crude_oil,1.01662152326181E-02
industry_final_demand_for_other_food_crude_oil,2.74499743458192E-03
industry_final_demand_for_other_paper_crude_oil,2.74499743458192E-03
industry_final_demand_for_other_wood_products_crude_oil,0.00000000000000E+00
industry_final_demand_for_other_construction_crude_oil,9.04792559094136E-01
industry_final_demand_for_other_textile_crude_oil,2.74499743458192E-03
industry_final_demand_for_other_non_specified_crude_oil,2.74499743455218E-03
