key,share
industry_final_demand_for_other_minerals_network_gas,1.40141646975864E-01
industry_final_demand_for_other_transport_equipment_network_gas,1.33954875758146E-02
industry_final_demand_for_other_machinery_network_gas,8.52995335676158E-02
industry_final_demand_for_other_mining_network_gas,2.89256585059709E-02
industry_final_demand_for_other_food_network_gas,3.45410446849420E-01
industry_final_demand_for_other_paper_network_gas,9.56575955553457E-02
industry_final_demand_for_other_wood_products_network_gas,7.00250311274730E-03
industry_final_demand_for_other_construction_network_gas,2.26865545997079E-02
industry_final_demand_for_other_textile_network_gas,2.05104326172349E-02
industry_final_demand_for_other_non_specified_network_gas,2.40970140640279E-01
