key,share
industry_final_demand_for_other_minerals_steam_hot_water,8.68931852741608E-04
industry_final_demand_for_other_transport_equipment_steam_hot_water,2.09514803787521E-03
industry_final_demand_for_other_machinery_steam_hot_water,5.87653500645310E-03
industry_final_demand_for_other_mining_steam_hot_water,2.27360619497297E-01
industry_final_demand_for_other_food_steam_hot_water,2.06715820948925E-01
industry_final_demand_for_other_paper_steam_hot_water,3.17201017161404E-01
industry_final_demand_for_other_wood_products_steam_hot_water,1.20096604776570E-02
industry_final_demand_for_other_construction_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_textile_steam_hot_water,6.54203457837637E-03
industry_final_demand_for_other_non_specified_steam_hot_water,2.21330232439271E-01
