world_code,world_label,europe_code,europe_label,mapping
INDPROD,Production,PPRD,Primary production,direct
,,RCV_RCY,Recovered and recycled products,empty
IMPORTS,Imports,IMP,Imports,direct
EXPORTS,Exports,EXP,Exports,direct
STOCKCHA,Stock changes,STK_CHG,Change in stock,direct
,,GAE,Gross available energy,empty
MARBUNK,International marine bunkers,INTMARB,International maritime bunkers,direct
,,GIC,Gross inland consumption,empty
AVBUNK,International aviation bunkers,INTAVI,International aviation,direct
TES,Total energy supply,NRGSUP,Total energy supply,direct
TRANSFER,Transfers,,,ignore
,,GIC2020-2030,Gross inland consumption (Europe 2020-2030),empty
,,PEC2020-2030,Primary energy consumption (Europe 2020-2030),empty
,,FEC2020-2030,Final energy consumption (Europe 2020-2030),empty
TOTTRANF,Transformation processes,TI_E,Transformation input - energy use,nettify
,,TI_EHG_E,Transformation input - electricity and heat generation - energy use,empty
MAINELEC,Main activity producer electricity plants,TI_EHG_MAPE_E,Transformation input - electricity and heat generation - main activity producer electricity only - energy use,nettify
MAINCHP,Main activity producer CHP plants,TI_EHG_MAPCHP_E,Transformation input - electricity and heat generation - main activity producer combined heat and power - energy use,nettify
MAINHEAT,Main activity producer heat plants,TI_EHG_MAPH_E,Transformation input - electricity and heat generation - main activity producer heat only - energy use,nettify
AUTOELEC,Autoproducer electricity plants,TI_EHG_APE_E,Transformation input - electricity and heat generation - autoproducer electricity only - energy use,nettify
AUTOCHP,Autoproducer CHP plants,TI_EHG_APCHP_E,Transformation input - electricity and heat generation - autoproducer combined heat and power - energy use,nettify
AUTOHEAT,Autoproducer heat plants,TI_EHG_APH_E,Transformation input - electricity and heat generation - autoproducer heat only - energy use,nettify
THEAT,Heat pumps,TI_EHG_EDHP,Transformation input - electricity and heat generation - electrically driven heat pumps,nettify
TBOILER,Electric boilers,TI_EHG_EB,Transformation input - electricity and heat generation - electric boilers,nettify
,,TI_EHG_EPS,Transformation input - electricity and heat generation - electricity for pumped storage,ignore
TELE,Chemical heat for electricity production,TI_EHG_DHEP,Transformation input - electricity and heat generation - derived heat for electricity production,nettify
TCOKEOVS,Coke ovens,TI_CO_E,Transformation input - coke ovens - energy use,nettify
TBLASTFUR,Blast furnaces,TI_BF_E,Transformation input - blast furnaces - energy use,nettify
TGASWKS,Gas works,TI_GW_E,Transformation input - gas works - energy use,nettify
,,TI_RPI_E,Transformation input - refineries and petrochemical industry - energy use,empty
TREFINER,Oil refineries,TI_RPI_RI_E,Transformation input - refineries and petrochemical industry - refinery intake - energy use,nettify
TPETCHEM,Petrochemical plants,,,ignore
,,TI_RPI_BPI_E,Transformation input - refineries and petrochemical industry - backflows from petrochemical industry - energy use,empty
,,TI_RPI_PT_E,Transformation input - refineries and petrochemical industry - products transferred - energy use,empty
,,TI_RPI_IT_E,Transformation input - refineries and petrochemical industry - interproduct transfers - energy use,empty
,,TI_RPI_DU_E,Transformation input - refineries and petrochemical industry - direct use - energy use,empty
,,TI_RPI_PII_E,Transformation input - refineries and petrochemical industry - petrochemical industry intake - energy use,empty
TPATFUEL,Patent fuel plants,TI_PF_E,Transformation input - patent fuel plants - energy use,nettify
TBKB,BKB/peat briquette plants,TI_BKBPB_E,Transformation input - brown coal briquettes and peat briquettes plants - energy use,nettify
TCOALLIQ,Coal liquefaction plants,TI_CL_E,Transformation input - coal liquefaction plants - energy use,nettify
TBLENDGAS,For blended natural gas,TI_BNG_E,Transformation input - for blended natural gas - energy use,nettify
,,TI_LBB_E,Transformation input - liquid biofuels blended - energy use,empty
TCHARCOAL,Charcoal production plants,TI_CPP_E,Transformation input - charcoal production plants - energy use,nettify
TGTL,Gas-to-liquids (GTL) plants,TI_GTL_E,Transformation input - gas-to-liquids plants - energy use,nettify
TNONSPEC,Non-specified (transformation),TI_NSP_E,Transformation input - not elsewhere specified - energy use,nettify
TOTTRANF,Transformation processes,TO,Transformation output,nettify
,,TO_EHG,Transformation output - electricity and heat generation,empty
MAINELEC,Main activity producer electricity plants,TO_EHG_MAPE,Transformation output - electricity and heat generation - main activity producer electricity only,nettify
MAINCHP,Main activity producer CHP plants,TO_EHG_MAPCHP,Transformation output - electricity and heat generation - main activity producer combined heat and power,nettify
