key,Value,Comment
non_energetic_emissions_co2_chemical_industry,1.15,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_co2_other_industry,6.06,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_co2_agriculture_manure,0,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_co2_agriculture_soil_cultivation,0.09,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_co2_waste_management,0,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
indirect_emissions_co2,0,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
energetic_emissions_other_ghg_industry,0.04,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
energetic_emissions_other_ghg_energy,0.68,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
energetic_emissions_other_ghg_transport,0.27,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
energetic_emissions_other_ghg_buildings,0.02,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
energetic_emissions_other_ghg_households,0.21,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
energetic_emissions_other_ghg_agriculture,0.01,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_other_ghg_chemical_industry,0.28,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_other_ghg_other_industry,1.19,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_other_ghg_agriculture_fermentation,2.24,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_other_ghg_agriculture_manure,0.48,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_other_ghg_agriculture_soil_cultivation,1.62,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_other_ghg_agriculture_other,0,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_other_ghg_waste_management,1.06,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
co2_emission_1990,37.96209306,Source: UNFCCC data can be found in the Other_emission excel
co2_emission_1990_aviation_bunkers,1.68125102,Source: UNFCCC data can be found in the Other_emission excel
co2_emission_1990_marine_bunkers,0.59960703,Source: UNFCCC data can be found in the Other_emission excel
