,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-2.78492100000000E+04,-7.73712300000000E+04,4.20829100000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-1.07918731175337E+05,7.73712300000000E+04,1.95504530318744E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,1.08075708882818E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,2.09837822402628E+04,-,3.59721981261648E+03,7.38533027042513E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.08161792374801E+04,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,1.02886666666667E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.18990960000000E+04,0.00000000000000E+00
Industry - Other metals,3.01988884200982E+03,-,-,1.58048044550494E+04,8.00100000000000E+01,0.00000000000000E+00,8.08127725356528E+02,7.53016476251988E+03,0.00000000000000E+00
