,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-4.03687500000000E+04,-5.13570100000000E+04,3.66929500000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-8.16597300000000E+04,5.79974800000000E+04,1.64284200000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Blast furnaces,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Total final consumption,,,,,,,,,
Industry - Steel,2.52305000000000E+03,3.47701000000000E+03,2.72125700000000E+04,1.07558481215375E+04,1.70400000000000E+02,0.00000000000000E+00,1.00000000000000E+00,9.78296000000000E+03,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.05000000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.52740000000000E+03,0.00000000000000E+00
Industry - Other metals,0.00000000000000E+00,0.00000000000000E+00,-,2.34746000000000E+03,0.00000000000000E+00,0.00000000000000E+00,9.69700000000000E+01,3.79632000000000E+03,0.00000000000000E+00
