,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption incl. refineries,,,,,,,,,
Chemical and petrochemical,3.82452558210666E+04,-,3.78361000000000E+03,2.03449958493802E+05,2.87275646459533E+05,1.01484661971233E+03,1.00969000000000E+05,2.14261210000000E+05,3.38931424802886E+02
Total non-energetic final consumption incl. refineries,,,,,,,,,
   Memo: Feedstock use in petrochemical industry,7.42490000000000E+02,-,0.00000000000000E+00,9.93168000000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
