key,value
present_number_of_residences,2.77500000000000E+06
present_number_of_apartments_before_1945,4.05800000000000E+04
present_number_of_apartments_1945_1964,6.90260000000000E+04
present_number_of_apartments_1965_1984,9.76240000000000E+04
present_number_of_apartments_1985_2004,4.25440000000000E+04
present_number_of_apartments_2005_present,3.52940000000000E+04
present_number_of_detached_houses_before_1945,3.33155000000000E+05
present_number_of_detached_houses_1945_1964,1.28446000000000E+05
present_number_of_detached_houses_1965_1984,4.49615000000000E+05
present_number_of_detached_houses_1985_2004,7.55190000000000E+04
present_number_of_detached_houses_2005_present,6.97430000000000E+04
present_number_of_semi_detached_houses_before_1945,0.00000000000000E+00
present_number_of_semi_detached_houses_1945_1964,0.00000000000000E+00
present_number_of_semi_detached_houses_1965_1984,0.00000000000000E+00
present_number_of_semi_detached_houses_1985_2004,0.00000000000000E+00
present_number_of_semi_detached_houses_2005_present,0.00000000000000E+00
present_number_of_terraced_houses_before_1945,9.03380000000000E+04
present_number_of_terraced_houses_1945_1964,1.89294000000000E+05
present_number_of_terraced_houses_1965_1984,4.02884000000000E+05
present_number_of_terraced_houses_1985_2004,4.33182000000000E+05
present_number_of_terraced_houses_2005_present,3.17756000000000E+05
present_share_of_apartments_before_1945_in_useful_demand_for_space_heating,3.41910977346785E-02
present_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,6.67296333750715E-02
present_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,8.93939960587499E-02
present_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,6.00049416395992E-02
present_share_of_apartments_2005_present_in_useful_demand_for_space_heating,3.08813958117742E-02
present_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,1.01029109380313E-01
present_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,4.52097042746935E-02
present_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,1.53697430237225E-01
present_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,9.76796952018437E-02
present_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,3.99819316661779E-02
present_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,3.41910977346785E-02
present_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,6.67296333750715E-02
present_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,8.93939960587499E-02
present_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,6.00049416395992E-02
present_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating,3.08813958117742E-02
