plant_type,input,output,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,
plant_type,input,output,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,
Coal pulverized,Coal,Electricity,0,0,0,0,0,0,0.154945541,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.670184129,0,0,0,0,0,0,0,0,0,0,0,0,0.133347707,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.638591488,0,0,0,0,0,0,0,0,0,0,0,6609.7,470,0,0,402,2870,0,0,290,0,0,1845,0,0,0,3381,979.4,0,0,0,0,299.0778964,0,
Coal conventional,Coal,Electricity,1,1,1,1,1,1,0.845054459,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.329815871,1,1,1,1,1,1,1,1,1,1,1,1,0.866652293,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.361408512,1,1,1,1,1,1,0,612.4,223,0,551.4,14446.65,2195.1,0,9202.44,2319,0,11803,0,0,227.1,855,4476,0,0,0,625,12991.88245,1756,1029,65,123,215.6446915,0,
Lignite plant,"Lignite, peat",Electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3579,0,6542.6504,18065.32,0,0,0,0,0,18,3362,0,853,424,0,0,0,0,0,7544,0,2807.3,0,1092,380.47,0,
Gas conventional,Network gas,Electricity,0.09680845,1,0,1,1,0,0.218811475,0.139699686,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0.129842201,1,0,1,1,0,0.231262517,0.159274533,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1149.928185,839,1529,0,0,4699.269,422,94,0,0,0,66,0,176,0,0,0,1048,1048,0,0,0,0,1455.602,0,69,90.11,0,
Gas turbine,Network gas,Electricity,0.00156166,0,0.018481215,0,0,0,0.175557606,0.860300314,0,0,0.312364803,0,0.002139791,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00208746,0,0.02534325,0,0,0,0.187948259,0.840725467,0,0,0.401953217,0,0.003535308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37.1,294,20,0,0,2919.668,370.24,250,0,319,636,1641.8,147.762,0,270,0,2595,0,0,0,726.8,0,0,104.3,1653.5635,423,0,0,
Gas CCGT,Network gas,Electricity,0.90162989,0,0.981518785,0,0,1,0.605630919,0,0,1,0.687635197,0,0.997860209,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0.868070339,0,0.97465675,0,0,1,0.580789224,0,0,1,0.598046783,0,0.996464692,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,3059.973815,4500.6,73,0,1369.5,18306.319,391.65,0,24498.56,1003,6139,32055.2,4753.6,594,1915.4,3753,33679.6,403.2,403.2,1103,13810,1042,3829,1066.4,267,0,975.86,336.3,
Oil-fired plant,Oil,Electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,163.606,158,0,1477.7,13.8,3248.35,852.8,1495,0,0,1642.5,694.8,708,0,410,914,866,150,150,0,0,0,0,0,1113,0,248,215,
Nuclear conventional,Nuclear heat,Electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5943,1960,0,4055.1,8114,0,0,7117.36,2794,61868,9256,0,0,1900,0,0,0,0,0,486,0,0,1300,7715,703,1797.95485,0,
Waste incinerator,Waste,Electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Waste incinerator CCS,Waste,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Solar pv plant,Solar photovoltaic,Electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Solar on roof households,Solar photovoltaic,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Solar on roof buildings,Solar photovoltaic,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Wind onshore,Wind,Electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Wind offshore,Wind,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Hydro river,Hydro,Electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Hydro mountain,Hydro,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Concentrated solar plant,Solar thermal,Electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Geothermal,Geothermal,Electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Coal-fired heater,Coal,Heat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Lignite-fired heater industry,"Lignite, peat",Heat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Gas-fired heater,Network gas,Heat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Oil-fired heater,Oil,Heat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Waste-fired heater,Waste,Heat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
