plant_type,input,output,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,
plant_type,input,output,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,
Coal pulverized,Coal,Electricity,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.154945541189225000,0.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.670184129183945000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.133347707305640000,0.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.638591488026088000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0,0,0,0,0,6609.7,470,0,0,402,2870,0,0,290,0,0,1845,0,0,0,3381,979.4,0,0,0,0,299.0778964,0,
Coal conventional,Coal,Electricity,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.845054458810775000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.329815870816055000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.866652292694360000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.361408511973912000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0,612.4,223,0,551.4,14446.65,2195.1,0,9202.44,2319,0,11803,0,0,227.1,855,4476,0,0,0,625,12991.88245,1756,1029,65,123,215.6446915,0,
Lignite plant,"Lignite, peat",Electricity,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0,0,3579,0,6542.6504,18065.32,0,0,0,0,0,18,3362,0,853,424,0,0,0,0,0,7544,0,2807.3,0,1092,380.47,0,
Gas conventional,Network gas,Electricity,0.270762336476096000,1.000000000000000000,0.000000000000000000,1.000000000000000000,1.000000000000000000,0.000000000000000000,0.218811475205814000,0.139699685548840000,1.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.000000000000000000,1.000000000000000000,1.000000000000000000,0.339867936991134000,1.000000000000000000,0.000000000000000000,1.000000000000000000,1.000000000000000000,0.000000000000000000,0.231262516579410000,0.159274532782699000,1.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.000000000000000000,1.000000000000000000,1.000000000000000000,1149.928185,839,1529,0,0,4699.269,422,94,0,0,0,66,0,176,0,0,0,1048,1048,0,0,0,0,1455.602,0,69,90.11,0,
Gas turbine,Network gas,Electricity,0.008735573941335560,0.000000000000000000,0.018481215245942200,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.175557605890347000,0.860300314451160000,0.000000000000000000,0.000000000000000000,0.312364803443222000,0.000000000000000000,0.002139790654995830,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,0.000000000000000000,0.010928043979022200,0.000000000000000000,0.025343249984209700,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.187948258963822000,0.840725467217301000,0.000000000000000000,0.000000000000000000,0.401953216766789000,0.000000000000000000,0.003535307616309780,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,0.000000000000000000,37.1,294,20,0,0,2919.668,370.24,250,0,319,636,1641.8,147.762,0,270,0,2595,0,0,0,726.8,0,0,104.3,1653.5635,423,0,0,
Gas CCGT,Network gas,Electricity,0.720502089582568000,0.000000000000000000,0.981518784754058000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.605630918903839000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.687635196556778000,0.000000000000000000,0.997860209345004000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.649204019029844000,0.000000000000000000,0.974656750015790000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.580789224456768000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.598046783233211000,0.000000000000000000,0.996464692383690000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,3059.973815,4500.6,73,0,1369.5,18306.319,391.65,0,24498.56,1003,6139,32055.2,4753.6,594,1915.4,3753,33679.6,403.2,403.2,1103,13810,1042,3829,1066.4,267,0,975.86,336.3,
Oil-fired plant,Oil,Electricity,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,163.606,158,0,1477.7,13.8,3248.35,852.8,1495,0,0,1642.5,694.8,708,0,410,914,866,150,150,0,0,0,0,0,1113,0,248,215,
Nuclear conventional,Nuclear heat,Electricity,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0,5943,1960,0,4055.1,8114,0,0,7117.36,2794,61868,9256,0,0,1900,0,0,0,0,0,486,0,0,1300,7715,703,1797.95485,0,
Solar pv plant,Solar photovoltaic,Electricity,0.035613800186006300,0.375749471595566000,0.500000000000000000,0.500000000000000000,0.913272661740854000,0.757691915587726000,0.500000000000000000,0.816749585406302000,0.980854514797258000,0.500000000000000000,0.857708836380960000,0.808182226884460000,0.839768169457625000,0.877358490566038000,0.767142857142857000,1.000000000000000000,0.785333957975632000,0.970873786407767000,0.500000000000000000,0.500000000000000000,0.500000000000000000,1.000000000000000000,0.969213634215553000,1.000000000000000000,0.514005602240896000,0.955775492488998000,0.500000000000000000,0.429752657998737000,0.035613800186006300,0.375749471595566000,0.500000000000000000,0.500000000000000000,0.913272661740854000,0.757691915587726000,0.500000000000000000,0.816749585406302000,0.980854514797258000,0.500000000000000000,0.857708836380960000,0.808182226884460000,0.839768169457625000,0.877358490566038000,0.767142857142857000,1.000000000000000000,0.785333957975632000,0.970873786407767000,0.500000000000000000,0.500000000000000000,0.500000000000000000,1.000000000000000000,0.969213634215553000,1.000000000000000000,0.514005602240896000,0.955775492488998000,0.500000000000000000,0.429752657998737000,60.618,1742.2,1047.95,151.261,1905.474,37161,1080,98.5,8800.724,222,9259.352,10786,2379.73,74.4,1074,31.06,16386.209,100,159.736,3.302,7177,1539.259,873.686,1397.705,367,252.146,590,66.007,
