plant_type,input,output,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,output_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,input_share,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW,net_max_generating_capacity_MW
plant_type,input,output,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,EU27_2020,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,EU27_2020,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,EU27_2020
Coal pulverized,Coal,Electricity,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.313905306475244000,0.176353607744550000,0.000000000000000000,0.000000000000000000,0.147739801543550000,1.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,0.000000000000000000,0.291884195538681000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.843984023964054000,0.070100937655870000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.581046768564545000,0.000000000000000000,0.248280173536355000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.273914098427835000,0.150535085885071000,0.000000000000000000,0.000000000000000000,0.121721226382449000,1.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.000000000000000000,0.000000000000000000,0.241419016677820000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.824684431977560000,0.055565352071258400,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.542353850948528000,0.000000000000000000,0.207529216731107000,0,0,0,0,0,6609.7,470,0,0,402,2870,0,0,290,0,0,1845,0,0,0,3381,979.4,0,0,0,0,299.0778964,0,17146.1779
Coal conventional,Coal,Electricity,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.686094693524756000,0.823646392255450000,1.000000000000000000,1.000000000000000000,0.852260198456450000,0.000000000000000000,1.000000000000000000,1.000000000000000000,0.000000000000000000,1.000000000000000000,1.000000000000000000,0.708115804461319000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.156015976035946000,0.929899062344130000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.418953231435455000,1.000000000000000000,0.751719826463645000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.726085901572165000,0.849464914114929000,1.000000000000000000,1.000000000000000000,0.878278773617551000,0.000000000000000000,1.000000000000000000,1.000000000000000000,0.000000000000000000,1.000000000000000000,1.000000000000000000,0.758580983322180000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.175315568022440000,0.944434647928742000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0.457646149051471000,1.000000000000000000,0.792470783268893000,0,612.4,223,0,551.4,14446.65,2195.1,0,9202.44,2319,0,11803,0,0,227.1,855,4476,0,0,0,625,12991.88245,1756,1029,65,123,215.6446915,0,51913.61714
Lignite plant,"Lignite, peat",Electricity,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0,0,3579,0,6542.6504,18065.32,0,0,0,0,0,18,3362,0,853,424,0,0,0,0,0,7544,0,2807.3,0,1092,380.47,0,44649.7404
Gas conventional,Network gas,Electricity,0.270762336476096000,0.148927861403011000,0.942663378545006000,1.000000000000000000,0.000000000000000000,0.181262202386738000,0.356452035239760000,0.273255813953488000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.001954802594556170,0.000000000000000000,0.228571428571429000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.722160970231532000,0.722160970231532000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.554240144507372000,0.000000000000000000,0.140243902439024000,0.084533335834967200,0.000000000000000000,0.077555395765409700,0.339867936991134000,0.188235977613916000,0.960757123179546000,1.000000000000000000,0.000000000000000000,0.222084948882697000,0.356878827972207000,0.304911955514365000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.002559560661373330,0.000000000000000000,0.316977148066247000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.807233011771705000,0.807233011771705000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.666227580758700000,0.000000000000000000,0.136881482741030000,0.104776791497795000,0.000000000000000000,0.105872263101474000,1149.928185,839,1529,0,0,4699.269,422,94,0,0,0,66,0,176,0,0,0,1048,1048,0,0,0,0,1455.602,0,69,90.11,0,11571.90918
Gas turbine,Network gas,Electricity,0.008735573941335560,0.052186878727634200,0.012330456226880400,0.000000000000000000,0.000000000000000000,0.112618675780868000,0.312731757173386000,0.726744186046512000,0.000000000000000000,0.241301059001513000,0.093874538745387500,0.048627195450641200,0.030147130532288800,0.000000000000000000,0.123547176718221000,0.000000000000000000,0.071537659960413100,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.049997248362775900,0.000000000000000000,0.000000000000000000,0.039713635370189700,0.860978301420390000,0.859756097560976000,0.000000000000000000,0.000000000000000000,0.072157065680234500,0.010928043979022200,0.066580771467729300,0.010771826103106200,0.000000000000000000,0.000000000000000000,0.134356715513328000,0.326617435225704000,0.695088044485635000,0.000000000000000000,0.301044262734032000,0.131433453690937000,0.065158436587152800,0.046877779244824800,0.000000000000000000,0.160925374330479000,0.000000000000000000,0.104300973329238000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.065765866436446600,0.000000000000000000,0.000000000000000000,0.040918290659004200,0.904985190975259000,0.863118517258969000,0.000000000000000000,0.000000000000000000,0.097411077113459200,37.1,294,20,0,0,2919.668,370.24,250,0,319,636,1641.8,147.762,0,270,0,2595,0,0,0,726.8,0,0,104.3,1653.5635,423,0,0,10766.4335
Gas CCGT,Network gas,Electricity,0.720502089582568000,0.798885259869355000,0.045006165228113400,0.000000000000000000,1.000000000000000000,0.706119121832394000,0.330816207586853000,0.000000000000000000,1.000000000000000000,0.758698940998487000,0.906125461254613000,0.949418001954803000,0.969852869467711000,0.771428571428571000,0.876452823281779000,1.000000000000000000,0.928462340039587000,0.277839029768468000,0.277839029768468000,1.000000000000000000,0.950002751637224000,1.000000000000000000,1.000000000000000000,0.406046220122438000,0.139021698579610000,0.000000000000000000,0.915466664165033000,1.000000000000000000,0.850287538554356000,0.649204019029844000,0.745183250918355000,0.028471050717347900,0.000000000000000000,1.000000000000000000,0.643558335603975000,0.316503736802090000,0.000000000000000000,1.000000000000000000,0.698955737265968000,0.868566546309063000,0.932282002751474000,0.953122220755175000,0.683022851933753000,0.839074625669521000,1.000000000000000000,0.895699026670762000,0.192766988228295000,0.192766988228295000,1.000000000000000000,0.934234133563553000,1.000000000000000000,1.000000000000000000,0.292854128582296000,0.095014809024741400,0.000000000000000000,0.895223208502205000,1.000000000000000000,0.796716659785067000,3059.973815,4500.6,73,0,1369.5,18306.319,391.65,0,24498.56,1003,6139,32055.2,4753.6,594,1915.4,3753,33679.6,403.2,403.2,1103,13810,1042,3829,1066.4,267,0,975.86,336.3,126869.9628
Oil-fired plant,Oil,Electricity,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,163.606,158,0,1477.7,13.8,3248.35,852.8,1495,0,0,1642.5,694.8,708,0,410,914,866,150,150,0,0,0,0,0,1113,0,248,215,13675.756
Nuclear conventional,Nuclear heat,Electricity,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,1.000000000000000000,0,5943,1960,0,4055.1,8114,0,0,7117.36,2794,61868,9256,0,0,1900,0,0,0,0,0,486,0,0,1300,7715,703,1797.95485,0,105753.4149
Solar pv plant,Solar photovoltaic,Electricity,0.035613800186006300,0.375404391148687000,0.000000000000000000,0.000000000000000000,0.913272661740854000,0.759752208047105000,0.000000000000000000,0.816749585406302000,0.980059174683653000,0.000000000000000000,0.857756113737077000,0.808182226884460000,0.839768169457625000,0.877358490566038000,0.767142857142857000,1.000000000000000000,0.785333957975632000,0.970873786407767000,0.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.969213634215553000,1.000000000000000000,0.514005602240896000,0.955775397028182000,0.000000000000000000,0.435367134782581000,0.707989975076434000,0.035613800186006300,0.375404391148687000,0.000000000000000000,0.000000000000000000,0.913272661740854000,0.759752208047105000,0.000000000000000000,0.816749585406302000,0.980059174683653000,0.000000000000000000,0.857756113737077000,0.808182226884460000,0.839768169457625000,0.877358490566038000,0.767142857142857000,1.000000000000000000,0.785333957975632000,0.970873786407767000,0.000000000000000000,0.000000000000000000,0.000000000000000000,1.000000000000000000,0.969213634215553000,1.000000000000000000,0.514005602240896000,0.955775397028182000,0.000000000000000000,0.435367134782581000,0.707989975076434000,60.618,1740.6,0,0,1905.474,37161,0,98.5,8662.991,0,9270.52,10786,2379.73,74.4,1074,58.31,16386.209,100,0,0,0,1539.259,873.686,1397.705,367,265.588,0,67.552,83483.142
