Gen Tech,Name,Key,Network,Fuel,Electrical efficiency,Full load hours,Backup full load hours,Comment
Combined Cycle CHP,Large-scale gas plant for district heat (CHP),energy_chp_combined_cycle_network_gas,Residential,Gas,0.433,,4.97500000000000E+03,"Data based on nl2019, empty fields are determined with energy balance"
Combined Cycle CHP,Gas CHP (CCGT),industry_chp_combined_cycle_gas_power_fuelmix,Industrial,Gas and Oil,0.433,,3.68428515754444E+03,"Data based on nl2019, empty fields are determined with energy balance"
Gas Turbine CHP,Gas turbine CHP,industry_chp_turbine_gas_power_fuelmix,Industrial,Gas and Oil,0.270,,2.56000000000000E+03,"Data based on nl2019, empty fields are determined with energy balance"
Internal Combustion CHP,Biogas CHP,energy_chp_local_engine_biogas,Residential,Biogas,0.420,8500,,"Data based on nl2019, empty fields are determined with energy balance"
Internal Combustion CHP,Small-scale gas plant for district heat (CHP),energy_chp_local_engine_network_gas,Residential,Gas,0.420,,4.50000000000000E+03,"Data based on nl2019, empty fields are determined with energy balance"
Internal Combustion CHP,Gas motor CHP,industry_chp_engine_gas_power_fuelmix,Industrial,Gas and Oil,0.430,,6.20000000000000E+02,"Data based on nl2019, empty fields are determined with energy balance"
Steam Turbine CHP,Coal CHP,industry_chp_ultra_supercritical_coal,Industrial,Coal,,,,"Data based on nl2019, empty fields are determined with energy balance"
Steam Turbine CHP,Oil shale CHP,,Industrial,Oil shale,,,,"Not available in ETM"
Steam Turbine CHP,Coal plant for district heat (CHP),energy_chp_ultra_supercritical_coal,Residential,Coal,,,,"Data based on nl2019, empty fields are determined with energy balance"
Steam Turbine CHP,Co-firing coal plant for district heat (CHP),energy_chp_ultra_supercritical_cofiring_coal,Residential,Coal and Wood pellets,,,,"Data based on nl2019, empty fields are determined with energy balance"
Steam Turbine CHP,Lignite plant for district heat (CHP),energy_chp_ultra_supercritical_lignite,Residential,"Lignite, peat",,,,"Data based on nl2019, empty fields are determined with energy balance"
Steam Turbine CHP,Waste CHP,energy_chp_supercritical_waste_mix,Residential,Waste,,,,"Data based on nl2019, empty fields are determined with energy balance"
Steam Turbine CHP,Biomass CHP - industrial,industry_chp_wood_pellets,Industrial,Wood pellets,,,,"Data based on nl2019, empty fields are determined with energy balance"
Steam Turbine CHP,Biomass CHP - residential,energy_chp_local_wood_pellets,Residential,Wood pellets,,,,"Data based on nl2019, empty fields are determined with energy balance"
Undefined,Coal gas CHP,energy_chp_coal_gas,Industrial,Coal gas,,5320,,"Data based on nl2019, empty fields are determined with energy balance"
