,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption incl. refineries,,,,,,,,,
Chemical and petrochemical,5.96357578570998E+02,-,0.00000000000000E+00,5.64259494876055E+04,1.78354014508151E+05,0.00000000000000E+00,2.16908100000000E+04,7.76479700000000E+04,0.00000000000000E+00
Total non-energetic final consumption incl. refineries,,,,,,,,,
   Memo: Feedstock use in petrochemical industry,0.00000000000000E+00,-,0.00000000000000E+00,1.92707100000000E+04,1.50215730000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
