key,share
industry_final_demand_for_other_minerals_network_gas,9.36551954369241E-02
industry_final_demand_for_other_transport_equipment_network_gas,4.99874674506920E-03
industry_final_demand_for_other_machinery_network_gas,4.65015446463060E-02
industry_final_demand_for_other_mining_network_gas,1.46886355130482E-02
industry_final_demand_for_other_food_network_gas,2.31112859308591E-01
industry_final_demand_for_other_paper_network_gas,3.21048458181655E-02
industry_final_demand_for_other_wood_products_network_gas,1.83352822392551E-03
industry_final_demand_for_other_construction_network_gas,9.63865909428113E-03
industry_final_demand_for_other_textile_network_gas,5.01358163885890E-03
industry_final_demand_for_other_non_specified_network_gas,5.60452403574830E-01
