,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption incl. refineries,,,,,,,,,
Chemical and petrochemical,1.07744946025365E+04,-,7.64421000000000E+03,1.97698241456554E+05,2.39484416259616E+05,3.53097069367682E+02,9.44638400000000E+04,2.13619240000000E+05,8.35366294584995E+02
Total non-energetic final consumption incl. refineries,,,,,,,,,
   Memo: Feedstock use in petrochemical industry,1.52320000000000E+03,-,0.00000000000000E+00,9.69401600000000E+04,7.07347170000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
