Plant type,EE,FI,AT,BE,BG,CY,CZ,DE,DK,ES,FR,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,EU27_2020
Solar on roof buildings,1.502698724,249.4613936,235.5512117,39.16158542,311.1047008,10.46077487,2205.805514,8000,461.684149,3324.165412,1383.317905,0,7.688838711,8000,332.3383085,8000,8000,1265.873786,20.7386203,8000,417.5289221,0,1971.976997,3058.558559,0,2119.642864,139.544246,1001.56438
Wind onshore,2174.050633,2628.43221,2310.733795,2309.024804,1873.062999,1512.537645,2062.419019,1901.390133,2381.077524,2174.553917,2113.851958,2024.616034,2270.307907,2256.965944,2428.112542,1891.672607,2807.865169,2071.395316,1976.32105,2390.651673,2588.181771,2616.813359,2229.72031,2286.257344,1863.636364,1500,580.5555556,2134.348748
Wind offshore,0,2921.678023,0,2842.302574,0,0,0,3277.930241,3332.547297,0,0,0,0,0,0,0,0,0,0,3213.919593,0,0,0,2286.257344,0,0,0,2997.658142
Hydro river,0,0,2204.323126,0,0,0,0,4126.150743,0,1062.527697,0,0,1821.931133,3775.862069,0,1827.728776,0,0,1328.270908,0,0,1029.267812,0,0,3999.722534,0,0,1815.555334
Hydro mountain,3166.666667,3934.265125,3523.066655,8000,1345.375544,0,2902.67606,6594.633938,2334.434807,1698.188371,2570.395171,1187.249414,2911.9074,0,4775.96226,2921.173502,8100,8000,0,2004.917417,2735.985,1645.030652,2427.05486,3972.360588,0,2837.368094,0,2901.717259
Concentrated solar plant,0,0,0,0,0,0,0,0,0,2466.565944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2464.329449
Waste incinerator,159.0899471,748.2246377,604.7687435,3101.430843,0,0,0,2616.883117,0,5366.505179,2506.72954,0,0,910.4477612,7449.038698,2684.236467,0,7243.075684,0,0,0,7192.913658,3.838982121,0,0,2090.909091,0,1783.877919
Coal gas CHP,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320
Biogas CHP,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
Gas Turbine CHP,5874.73592,1835.070324,1306.502563,5450.567493,6558.464925,0,6849.656154,5229.668569,1106.178733,6555.214356,2821.620894,8000,3781.132219,4353.789174,6480.448123,4676.730364,8000,0,0,4507.878708,8402.910152,6310.325516,8000,0,4677.797952,7504.125799,0,4568.860254
Lignite plant for district heat (CHP),5874.73592,3629.331126,0,0,2734.956714,0,1053.916205,601.8143135,0,0,0,2478.313516,2139.30131,2649.047619,4166.526904,0,0,0,8088.65057,0,4099.990909,0,1548.864503,4861.012577,522.7809593,1672.959908,0,2225.386803
Oil shale CHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste CHP,5874.73592,3629.331126,2299.461464,4501.033963,2734.956714,0,1053.916205,601.8143135,2645.282572,5959.090909,3913.137655,2478.313516,0,2649.047619,0,2641.494002,451.848249,0,0,3899.549298,4099.990909,3220.762068,0,4861.012577,522.7809593,1672.959908,0,2225.386803
Small-scale gas plant for district heat (CHP),4500,0,1306.502563,5450.567493,8000,0,6849.656154,0,1106.178733,6555.214356,2821.620894,0,3781.132219,4353.789174,6480.448123,4676.730364,8000,2168.165422,2848.684457,4507.878708,8402.910152,6310.325516,8000,4085.457536,4677.797952,7504.125799,0,4589.253604
Gas motor CHP,620,0,1306.502563,5450.567493,8000,0,6849.656154,0,1106.178733,6555.214356,2821.620894,0,3781.132219,4353.789174,6480.448123,4676.730364,8000,2168.165422,2848.684457,4507.878708,8402.910152,6310.325516,8000,4085.457536,4677.797952,7504.125799,0,4589.253604
Large-scale gas plant for district heat (CHP),0,1835.070324,1306.502563,5450.567493,8000,0,6849.656154,5229.668569,1106.178733,6555.214356,2821.620894,0,0,4353.789174,0,4676.730364,0,0,2848.684457,4507.878708,8402.910152,6310.325516,8000,4085.457536,0,7504.125799,0,4589.253604
Gas CHP (CCGT),0,1835.070324,1306.502563,5450.567493,8000,0,6849.656154,5229.668569,1106.178733,6555.214356,2821.620894,0,0,4353.789174,0,4676.730364,0,0,2848.684457,4507.878708,8402.910152,6310.325516,8000,4085.457536,0,7504.125799,0,4589.253604
Coal plant for district heat (CHP),0,3629.331126,2299.461464,4501.033963,2734.956714,0,1053.916205,601.8143135,2645.282572,5959.090909,3913.137655,0,0,2649.047619,0,2641.494002,0,0,8088.65057,3899.549298,4099.990909,0,1548.864503,4861.012577,522.7809593,1672.959908,0,2225.386803
Coal CHP,0,3629.331126,2299.461464,4501.033963,2734.956714,0,1053.916205,601.8143135,2645.282572,5959.090909,3913.137655,0,0,2649.047619,0,2641.494002,0,0,8088.65057,3899.549298,4099.990909,0,1548.864503,4861.012577,522.7809593,1672.959908,0,2225.386803
Biomass CHP - residential,5874.73592,3629.331126,2299.461464,4501.033963,2734.956714,0,1053.916205,601.8143135,2645.282572,5959.090909,3913.137655,2478.313516,2139.30131,2649.047619,4166.526904,2641.494002,451.848249,4600.060813,8088.65057,3899.549298,4099.990909,3220.762068,1548.864503,4861.012577,522.7809593,1672.959908,0,2225.386803
Biomass CHP - industrial,5874.73592,3629.331126,2299.461464,4501.033963,2734.956714,0,1053.916205,601.8143135,2645.282572,5959.090909,3913.137655,2478.313516,2139.30131,2649.047619,4166.526904,2641.494002,451.848249,4600.060813,8088.65057,3899.549298,4099.990909,3220.762068,1548.864503,4861.012577,522.7809593,1672.959908,0,2225.386803
Geothermal - residential,0,0,218.579235,0,0,0,0,4925,0,0,7955.779154,0,8000,6000,0,7918.325317,0,0,0,0,0,7400.687285,0,0,0,0,0,7762.888988
Geothermal - industrial,0,0,218.579235,0,0,0,0,4925,0,0,7955.779154,0,8000,6000,0,7918.325317,0,0,0,0,0,7400.687285,0,0,0,0,0,7762.888988
