nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,25866076.621,0.0,414240.42,1137606.723,0.0,2637706.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65893.419,128046.104,828861.285,23597.378,0.0,96572.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2188162.493,1152935.398,1796.27,1321841.818,425160.635,194623.665,288809.276,3978199.345,0.0,592313.706,379295.211,98478.342,0.0,540913.588,0.0,1034.4,0.0,22539.793,518161.175,193968.784,376099.511,8213702.811,45515.537,0.0
Recovered and recycled products,75004.626,0.0,0.0,22639.839,784.25,221.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13861.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.09,9569.006,302.4,18376.679,702.0,0.0,0.0,7604.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,56704853.701,121464.591,1122402.469,2095796.624,29289.433,14516.332,3466.089,216830.699,0.0,19317.413,15519.343,0.0,0.0,0.0,0.0,2724.845,0.0,21477545.307,245252.586,682061.519,78025.592,8.736,0.0,20742.588,971149.89,1005467.239,2600.047,0.0,1216562.525,77921.395,1762803.044,4970278.062,1638915.727,107272.166,298957.267,219337.699,288920.449,31191.553,742174.087,15084181.793,0.0,0.0,0.0,0.0,0.0,0.0,298950.165,14245.336,0.0,18410.764,62741.535,4995.359,324524.824,36906.624,0.0,0.0,30534.883,0.0,4520.778,16142.438,0.0,227.077,1329956.813
Exports,18705171.095,25425.161,101636.123,90040.51,11.792,13918.029,651.719,242276.049,0.0,20139.902,30964.627,0.0,0.0,0.0,0.0,293.409,0.0,158396.075,5370.443,350820.906,29727.833,44462.573,0.0,0.0,352700.458,3205767.785,4083.581,0.0,745586.754,55551.097,1011816.988,3957551.64,1837880.21,114657.886,363505.798,366241.438,212899.406,23645.558,920654.309,2504985.367,0.0,0.0,0.0,0.0,0.0,0.0,215926.722,1632.174,0.0,1714.6,40926.849,8205.355,302180.889,20936.388,1034.4,0.0,0.0,0.0,0.0,1520.4,0.0,74.085,1319355.807
Change in stock,-1094291.192,-1913.375,-19898.702,-75997.135,5767.431,-15882.833,138.868,-18933.611,0.0,134.513,-2796.671,0.0,0.0,0.0,0.0,28145.076,-5484.368,-114908.551,10650.893,-27098.765,4071.575,0.079,0.0,-67.843,3556.861,-4478.592,32.224,0.0,-16065.461,2710.974,-7405.858,-78039.176,-19879.467,-409.953,4601.815,3472.129,-4135.669,97.558,-10302.015,-733247.151,0.0,0.0,0.0,0.0,0.0,0.0,-2698.899,-80.834,0.0,-137.855,-735.022,-520.834,-2632.646,5917.423,0.0,0.0,0.551,0.0,212.523,-50.395,0.0,0.0,0.0
Gross available energy,62846472.657,94126.056,1415108.062,3090005.541,35829.323,2622643.376,2953.237,-44378.965,0.0,-687.976,-18241.956,0.0,0.0,0.0,0.0,96469.932,122561.735,22033101.969,274130.414,304141.85,148942.252,-44453.759,13861.449,20674.745,622006.297,-2204779.137,-1451.309,0.0,454910.31,25081.273,743580.197,935630.333,-209274.944,-7493.271,-41570.038,-142729.61,71885.373,7643.555,-181177.621,14034111.77,1152935.398,1796.27,1321841.818,425160.635,194623.665,288809.276,4058523.889,12532.328,592313.706,395853.52,119558.004,-3730.83,560624.874,21887.659,0.0,0.0,53075.226,518161.175,198702.085,390671.154,8213702.811,45668.529,10601.004
International maritime bunkers,1805050.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380929.507,1410180.168,0.0,5992.627,0.0,0.0,0.0,0.12,5964.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,61041421.957,94126.056,1415108.062,3090005.541,35829.323,2622643.376,2953.237,-44378.965,0.0,-687.976,-18241.956,0.0,0.0,0.0,0.0,96469.932,122561.735,22033101.969,274130.414,304141.85,148942.252,-44453.759,13861.449,20674.745,622006.297,-2204779.137,-1451.309,0.0,454910.31,25081.273,743580.197,554700.827,-1619455.108,-7493.271,-47562.664,-142729.61,71885.373,7643.555,-181177.741,14028146.83,1152935.398,1796.27,1321841.818,425160.635,194623.665,288809.276,4058523.889,12532.328,592313.706,395853.52,119558.004,-3730.83,560624.874,19904.318,0.0,0.0,53075.226,518161.175,198702.085,390671.154,8213702.811,45668.529,10601.004
International aviation,1749719.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,11.719,0.0,1749707.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,59291702.768,94126.056,1415108.062,3090005.541,35829.323,2622643.376,2953.237,-44378.965,0.0,-687.976,-18241.956,0.0,0.0,0.0,0.0,96469.932,122561.735,22033101.969,274130.414,304141.85,148942.252,-44453.759,13861.449,20674.745,622006.251,-2204779.137,-1463.028,0.0,-1294797.114,25081.273,743580.197,554700.827,-1619455.108,-7493.271,-47562.664,-142729.61,71885.373,7643.555,-181177.741,14028146.83,1152935.398,1796.27,1321841.818,425160.635,194623.665,288809.276,4058523.889,12532.328,592313.706,395853.52,119558.004,-3730.83,560624.874,19904.318,0.0,0.0,53075.226,518161.175,198702.085,390671.154,8213702.811,45668.529,10601.004
