Year,Coal,Lignite,Natural gas,Crude oil,Uranium oxide,Woody biomass
2.01000000000000E+03,2.03998496469840E+06,5.10575914101600E+05,1.54702260000000E+05,4.90692960000000E+04,0.00000000000000E+00,2.78634227925600E+05
2.01100000000000E+03,1.96381571234920E+06,5.21857117050800E+05,1.57453470000000E+05,3.91955030000000E+04,0.00000000000000E+00,2.91768841684080E+05
2.01200000000000E+03,1.88764646000000E+06,5.33138320000000E+05,1.60204680000000E+05,2.93217100000000E+04,0.00000000000000E+00,3.04903455442560E+05
2.01300000000000E+03,1.91803139166933E+06,5.20513080330667E+05,1.57226148000000E+05,3.37271026666667E+04,0.00000000000000E+00,3.18038069201040E+05
2.01400000000000E+03,1.94841632333867E+06,5.07887840661333E+05,1.54247616000000E+05,3.81324953333333E+04,0.00000000000000E+00,3.31172682959520E+05
2.01500000000000E+03,1.97880125500800E+06,4.95262600992000E+05,1.51269084000000E+05,4.25378880000000E+04,0.00000000000000E+00,3.44307296718000E+05
2.01600000000000E+03,1.99533301232832E+06,4.99400237911680E+05,1.83624674400000E+05,4.23201744000000E+04,0.00000000000000E+00,3.51998316852480E+05
2.01700000000000E+03,2.01186476964864E+06,5.03537874831360E+05,2.15980264800000E+05,4.21024608000000E+04,0.00000000000000E+00,3.59689336986960E+05
2.01800000000000E+03,2.02839652696896E+06,5.07675511751040E+05,2.48335855200000E+05,4.18847472000000E+04,0.00000000000000E+00,3.67380357121440E+05
2.01900000000000E+03,2.04492828428928E+06,5.11813148670720E+05,2.80691445600000E+05,4.16670336000000E+04,0.00000000000000E+00,3.75071377255920E+05
2.02000000000000E+03,2.06146004160960E+06,5.15950785590400E+05,3.13047036000000E+05,4.14493200000000E+04,0.00000000000000E+00,3.82762397390400E+05
2.02100000000000E+03,2.02122097811424E+06,5.05879585565760E+05,3.61345960800000E+05,4.07543112000000E+04,2.49951960000000E+04,3.96215850204000E+05
2.02200000000000E+03,1.98098191461888E+06,4.95808385541120E+05,4.09644885600000E+05,4.00593024000000E+04,4.99903920000000E+04,4.09669303017600E+05
2.02300000000000E+03,1.94074285112352E+06,4.85737185516480E+05,4.57943810400000E+05,3.93642936000000E+04,7.49855880000000E+04,4.23122755831200E+05
2.02400000000000E+03,1.90050378762816E+06,4.75665985491840E+05,5.06242735200000E+05,3.86692848000000E+04,9.99807840000000E+04,4.36576208644800E+05
2.02500000000000E+03,1.86026472413280E+06,4.65594785467200E+05,5.54541660000000E+05,3.79742760000000E+04,1.24975980000000E+05,4.50029661458400E+05
2.02600000000000E+03,1.76647425958512E+06,4.42120518254880E+05,5.52640852800000E+05,3.74048712000000E+04,1.93413412800000E+05,4.58436125326320E+05
2.02700000000000E+03,1.67268379503744E+06,4.18646251042560E+05,5.50740045600000E+05,3.68354664000000E+04,2.61850845600000E+05,4.66842589194240E+05
2.02800000000000E+03,1.57889333048976E+06,3.95171983830240E+05,5.48839238400000E+05,3.62660616000000E+04,3.30288278400000E+05,4.75249053062160E+05
2.02900000000000E+03,1.48510286594208E+06,3.71697716617920E+05,5.46938431200000E+05,3.56966567999999E+04,3.98725711200000E+05,4.83655516930080E+05
2.03000000000000E+03,1.39131240139440E+06,3.48223449405600E+05,5.45037624000000E+05,3.51272520000000E+04,4.67163144000000E+05,4.92061980798000E+05
2.03100000000000E+03,1.38748887998208E+06,3.47266482577920E+05,5.37936811200000E+05,3.32599392000000E+04,4.92074604000000E+05,4.97637775981440E+05
2.03200000000000E+03,1.38366535856976E+06,3.46309515750240E+05,5.30835998400000E+05,3.13926264000000E+04,5.16986064000000E+05,5.03213571164880E+05
2.03300000000000E+03,1.37984183715744E+06,3.45352548922560E+05,5.23735185600000E+05,2.95253136000000E+04,5.41897524000000E+05,5.08789366348320E+05
2.03400000000000E+03,1.37601831574512E+06,3.44395582094880E+05,5.16634372800000E+05,2.76580008000000E+04,5.66808984000000E+05,5.14365161531760E+05
2.03500000000000E+03,1.37219479433280E+06,3.43438615267200E+05,5.09533560000000E+05,2.57906880000000E+04,5.91720444000000E+05,5.19940956715200E+05
2.03600000000000E+03,1.36658106925344E+06,3.42033588826560E+05,5.15235981600000E+05,2.33623440000000E+04,6.15375864000000E+05,5.23588164443280E+05
2.03700000000000E+03,1.36096734417408E+06,3.40628562385920E+05,5.20938403200000E+05,2.09340000000000E+04,6.39031284000000E+05,5.27235372171360E+05
2.03800000000000E+03,1.35535361909472E+06,3.39223535945280E+05,5.26640824800000E+05,1.85056560000000E+04,6.62686704000000E+05,5.30882579899440E+05
2.03900000000000E+03,1.34973989401536E+06,3.37818509504640E+05,5.32343246400000E+05,1.60773120000000E+04,6.86342124000000E+05,5.34529787627520E+05
2.04000000000000E+03,1.34412616893600E+06,3.36413483064000E+05,5.38045668000000E+05,1.36489680000000E+04,7.09997544000000E+05,5.38176995355600E+05
2.04100000000000E+03,1.34643206913264E+06,3.36990613347360E+05,5.41554206400000E+05,1.10950200000000E+04,7.09997544000000E+05,5.43099559304160E+05
