Key,Value,Source
country,de,
residences_number_of_terraced_houses_1965_1984,4049027,See /source_analyses/de/2015/6_residences/6_residences_number_of_units.xlsx
residences_number_of_terraced_houses_1985_2004,1730028,See /source_analyses/de/2015/6_residences/6_residences_number_of_units.xlsx
residences_number_of_terraced_houses_2005_present,731442,See /source_analyses/de/2015/6_residences/6_residences_number_of_units.xlsx
residences_share_of_apartments_before_1945_in_useful_demand_for_space_heating,0.0283796312193112,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,0.0542183154208014,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,0.0826048140644851,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,0.0574460048758713,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_apartments_2005_present_in_useful_demand_for_space_heating,0.0276825876455036,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,0.0957868351474779,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,0.0424956220169626,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,0.149545033135323,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,0.0887202554681867,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,0.0435600727946984,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,0,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,0,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,0,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,0,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,0,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,0.038261854891323,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,0.0745802286852316,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,0.113381176389795,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,0.0699172475363115,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating,0.0334203207087182,Used de2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
