,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-3.78743800000000E+04,-5.25824800000000E+04,3.61810300000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-7.29300678246025E+04,5.25824800000000E+04,1.49377562440808E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,7.09238712192664E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.07218637793413E+02,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,1.82996140292000E+04,7.97274309203386E+03,0.00000000000000E+00,0.00000000000000E+00,1.47792889038101E-12,6.85350143614989E+03,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,6.91333333333334E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,7.99544000000001E+03,0.00000000000000E+00
Industry - Other metals,5.57067000000000E+03,-,-,4.48564626276891E+03,1.70400000000000E+02,0.00000000000000E+00,3.59699999999985E+01,7.56268563850106E+02,0.00000000000000E+00
