,,BIODIESEL,BIOMASS,BIOMASS GASIFICATION,COAL,COMPRESSED AIR,HYDROGEN,NATURAL GAS,OIL,OTHER,OTHER GAS,SOLAR,STEAM,URANIUM,WASTE,WASTE GAS,WATER,WIND
Power,Other,,23.2,,0,,,0,0,,0,500,,0,,,0,0
,Combined Cycle,,,,335,,,23222.3,699.5,,,,,,,0,,
,Fuel Cell Electroche,,,,,,,,,,,,,,,,,
,Gas Combustion Turbi,,,,,,,788.84,870.14,,,,,,,1,,
,Geothermal Steam Tur,,,,,,,,,,,,,,,,,
,Hydro,,,,,,,,,,,,,,,,14570.11,
,Internal Combustion,,,,,,,,172.59,,,,,,,,,
,Nuclear,,,,,,,,,,,,,7738,,,,
,Pumped Storage,,,,,,,,,,,,,,,,4693.04,
,Solar,,,,,,,,,,,5066.57,,,,,,
,Steam Turbine,,115.45,,11456.8,,,1591.18,1636.66,,,,,,290.35,,,
,Wind Turbine,,,,,,,,,,,,,,,,,20729.43
,,,,,,,,,,,,,,,,,,
CHP,Other,,,,,,,0,,,,,,,,,,
,Combined Cycle,,,,0,,,2184.58,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Gas Combustion Turbi,,15.6,,,,,2059.91,25,,291.87,,,,,16.4,,
,Geothermal Steam Tur,,,,,,,68.84,45.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Internal Combustion,,367.42,,71,,,186.2,597.97,,57.83,,,,26.4,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Steam Turbine,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
