PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. bio,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. bio,Other Kerosene,Gas/diesel oil excl. bio,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,0,11864.47,405678.69,0,0,0,0,0,0,0,0,0,0,0,0,1466673.39,x,1823837.28,113622.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13317.46,32423.75,18637.41,75746.46,75816.42,3596.5,9149,0,0,0,0,0,768192.81,19029.42,32.99,4277.57,6410.79,14.4,70515.09,0,0,0,4918836.31,297012.39
Imports,x,x,0,153336.9,1001971.45,0,0,464.57,5435.51,0,0,0,0,0,0,0,0,1772746.26,x,2331755.07,71444.39,214477.33,0,0,0,0,13477.98,184095.98,836.02,0,306460.99,30185.99,456970.21,26360.01,27367.98,7499.19,18606.01,8774.99,1680,19967.98,5439.99,0,0,0,37382.81,0,14594.01,11603.59,0,0,0,0,0,0,0,0,0,0,0,0,0,49656.54,0,6772591.75,63580.41
Exports,x,x,0,-399.59,-14065.68,0,0,-991.06,-14721.21,0,0,0,0,0,0,0,0,-466500.71,x,-1237591.49,-63606.83,-170876.41,0,0,0,0,-52762.01,-376684.01,0,0,-56759.99,-4815.99,-325762.18,-212039.98,-40347.98,-1089.99,-20117.99,-5888.99,-520,-18624.02,-33120.02,0,0,0,-9613.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6290.33,0,-3133189.6,-9613.14
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-70034.4,-59320.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-129354.41,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-453521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-453521,0
Stock changes,x,x,0,15438.7,60869.79,0,0,216.79,2434.67,0,0,0,0,0,0,0,0,4272.88,x,-24201,-1812.17,5949.44,0,0,0,0,413.99,4136.01,-88.01,0,-558.98,1719.98,-212.98,4160,1495.99,-87.21,-462.01,-428.98,160.02,-704.01,160.02,0,0,0,0,0,0,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72947.33,74.4
Total primary energy supply,x,x,0,180240.53,1454454.21,0,0,-309.7,-6851.03,0,0,0,0,0,0,0,0,2777191.82,x,2893799.85,119647.86,49550.32,0,0,0,0,-38870,-188452.01,748.01,0,-204379.02,27090.02,60960.6,-240840.02,-11484.02,6321.98,-1973.99,2456.98,1320.01,639.99,-27520,13317.46,32423.75,18637.41,103516.12,75816.42,18190.47,20826.94,0,0,0,0,0,768192.81,19029.42,32.99,4277.57,6410.79,14.4,70515.09,0,43366.2,0,8048310.26,351053.97
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,-85262.13,0,0,0,0,38758.51,34039.98,-2376.01,0,0,-20597,19178.01,-2172.61,-559.98,15840,0,0,2456.98,0,5536,-3400.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441.72,0
Statistical differences,x,x,0,-253.26,-48461.79,0,0,154.87,-28.3,0,0,0,0,314.93,213.95,0,0,1803.09,x,3860.02,-407.75,2337.28,0,0,0,0,-736,-2595.98,0,0,5590.01,-688.02,468.59,-1799.99,528,43.58,83.99,272.98,-39.98,-96,720,0,0,0,-1,0,0,-74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.2,-2.01,-38800.42,-75.4
Transformation processes,x,x,0,-177980.87,-1347403.39,0,0,7990.26,28593.08,0,5777.87,0,0,17834.72,16575.83,0,0,-766342.87,x,-2897659.87,-33978.02,-51887.6,0,0,115384.48,0,114678,775587.99,0,0,248325.01,97524.01,1048769.41,271000.01,41800.01,3139.22,19194.01,47658.01,0,62752.01,50079.99,-13317.46,-29738.3,-17093.7,-67597.02,-72572.07,0,0,0,0,0,0,0,-768192.81,-19029.42,0,-4277.57,0,-14.4,-70515.09,0,1299369.44,58621.73,-2006945.34,-263743.87
