low,medium,high
15.8,18,21
15.8,18,21
15.8,18,21
15.8,18,21
15.8,18,21
15.8,18,21
18.5,19,21
18.5,19,21
18.5,19,21
18.5,19,21
18.5,19,21
18.5,19,21
18.5,19,21
18.5,19,21
18.5,19,21
18.5,19,21
18.5,19,21
19.5,20.5,21
19.5,20.5,21
19.5,20.5,21
19.5,20.5,21
19.5,20.5,21
19.5,20.5,21
15.8,18,21
