key,demand,full_load_hours,electricity_output_conversion,heat_output_conversion
energy_chp_local_engine_network_gas,1.04183465636680E+05,3.69828744311973E+03,4.30000000000000E-01,4.70000000000000E-01
energy_chp_local_engine_biogas,3.71416404255319E+04,8.00000000000000E+03,4.30000000000000E-01,4.70000000000000E-01
energy_chp_local_wood_pellets,6.64343404208189E+04,6.00000000000000E+03,2.89000000000000E-01,8.21000000000000E-01
industry_chp_turbine_gas_power_fuelmix,4.35619822554457E+05,6.00000000000000E+03,3.80000000000000E-01,4.20000000000000E-01
industry_chp_engine_gas_power_fuelmix,3.41075959967089E+04,6.00000000000000E+03,4.20000000000000E-01,4.80000000000000E-01
industry_chp_combined_cycle_gas_power_fuelmix,7.62395394573778E+05,6.00000000000000E+03,4.60000000000000E-01,4.20000000000000E-01
industry_chp_coal_gas,1.39519620000000E+05,6.35500000000000E+03,2.96592092268773E-01,2.67380238931538E-01
industry_chp_ultra_supercritical_coal,2.82679189045958E+05,7.00000000000000E+03,4.00000000000000E-01,1.50000000000000E-01
industry_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03,2.79000000000000E-01,8.35000000000000E-01
energy_chp_combined_cycle_network_gas,1.48680782608696E+06,4.50000000000000E+03,4.60000000000000E-01,4.20000000000000E-01
energy_chp_ultra_supercritical_cofiring_coal,4.67591351351351E+05,4.50000000000000E+03,3.70000000000000E-01,1.50000000000000E-01
energy_chp_ultra_supercritical_coal,9.79371000000000E+05,4.50000000000000E+03,4.00000000000000E-01,1.50000000000000E-01
energy_chp_ultra_supercritical_lignite,8.93160000000000E+05,7.00000000000000E+03,3.50000000000000E-01,1.50000000000000E-01
energy_chp_supercritical_waste_mix,2.51786666666667E+05,6.00000000000000E+03,2.70000000000000E-01,1.50000000000000E-01
