party,category,classification,measure,gas,unit,year,numberValue,stringValue
CYP,1.  Energy,Total for category,Emission factor information,CH4,no unit,1990,,"D,M"
CYP,1.  Energy,Total for category,Emission factor information,CH4,no unit,2019,,"D,M"
CYP,1.  Energy,Total for category,Emission factor information,CO2,no unit,1990,,"CS,D,M"
CYP,1.  Energy,Total for category,Emission factor information,CO2,no unit,2019,,"CS,D,M"
CYP,1.  Energy,Total for category,Emission factor information,N2O,no unit,1990,,"D,M"
CYP,1.  Energy,Total for category,Emission factor information,N2O,no unit,2019,,"D,M"
CYP,1.  Energy,Total for category,Indirect emissions,CO2,kt,1990,,NE
CYP,1.  Energy,Total for category,Indirect emissions,CO2,kt,2019,,NE
CYP,1.  Energy,Total for category,Indirect emissions,N2O,kt,1990,,NE
CYP,1.  Energy,Total for category,Indirect emissions,N2O,kt,2019,,NE
CYP,1.  Energy,Total for category,Method,CH4,no unit,1990,,"T1,T2"
CYP,1.  Energy,Total for category,Method,CH4,no unit,2019,,"T1,T2"
CYP,1.  Energy,Total for category,Method,CO2,no unit,1990,,"CS,T1,T2"
CYP,1.  Energy,Total for category,Method,CO2,no unit,2019,,"CS,T1,T2"
CYP,1.  Energy,Total for category,Method,N2O,no unit,1990,,"T1,T2"
CYP,1.  Energy,Total for category,Method,N2O,no unit,2019,,"T1,T2"
CYP,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,3954.346280951705,
CYP,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,6566.7142332579,
CYP,1.  Energy,Total for category,Net emissions/removals,CH4,kt,1990,0.50591526789854,
CYP,1.  Energy,Total for category,Net emissions/removals,CH4,kt,2019,0.74624401218825,
CYP,1.  Energy,Total for category,Net emissions/removals,CO,kt,1990,40.73014983162619,
CYP,1.  Energy,Total for category,Net emissions/removals,CO,kt,2019,10.69145858869253,
CYP,1.  Energy,Total for category,Net emissions/removals,CO2,kt,1990,3921.7822458824908,
CYP,1.  Energy,Total for category,Net emissions/removals,CO2,kt,2019,6522.742166867059,
CYP,1.  Energy,Total for category,Net emissions/removals,NH3,kt,1990,0.07385008842086,
CYP,1.  Energy,Total for category,Net emissions/removals,NH3,kt,2019,0.00151830092,
CYP,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,1990,8.40300757816619,
CYP,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,2019,2.4836665893465,
CYP,1.  Energy,Total for category,Net emissions/removals,NOx,kt,1990,15.98697510702323,
CYP,1.  Energy,Total for category,Net emissions/removals,NOx,kt,2019,12.58169819067304,
CYP,1.  Energy,Total for category,Net emissions/removals,N2O,kt,1990,0.069427953087,
CYP,1.  Energy,Total for category,Net emissions/removals,N2O,kt,2019,0.08708390207385,
CYP,1.  Energy,Total for category,Net emissions/removals,SO2,kt,1990,31.87394256057206,
CYP,1.  Energy,Total for category,Net emissions/removals,SO2,kt,2019,15.84558235110834,
CYP,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,1990,0.50591526789854,
CYP,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,2019,0.74624401218825,
CYP,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,1990,0.069427953087,
CYP,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,2019,0.08708390207385,
CYP,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,1990,,NE
CYP,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,2019,,NE
CYP,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,1990,,NO
CYP,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,2019,,NO
CYP,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,1990,112.0,
CYP,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,2019,93.03,
CYP,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,1990,30.0,
CYP,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,2019,29.99032570138665,
CYP,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,1990,112.0,
CYP,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,2019,112.0,
CYP,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,1990,4.0,
CYP,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,2019,4.0,
CYP,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,12.7568,
CYP,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,10.5960918,
CYP,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,1990,0.00336,
CYP,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,2019,0.00279,
CYP,1.A.1  Energy Industries,Biomass,Net emissions/removals,CO2,kt,1990,12.544,
