Woningtype ETM,Bouwjaarklasse ETM,Woningkenmerken/oppervlakte,Functionele vraag/ruimteverwarming,Aantal woningen (#),Functionele vraag ruimteverwarming (aandeel van totaal),Gemiddelde netto warmtevraag (kWh/m2),Gemiddeld warmteverbruik (GJ/woning)
Appartement,1945 - 1964,27877208,10210840.65410992,389149,0.03731,101.74421434677548,26.238897322387874
Appartement,1965 - 1984,56533027,17513944.967271514,764098,0.06399,86.05562042752418,22.92107159980986
Appartement,1985 - 2004,49760753,12414336.365254164,619418,0.04536,69.30013233775132,20.0419367297272
Appartement,< 1945,44384324,16197800.064684046,540306,0.05918,101.37337918803675,29.978937980855378
Appartement,>= 2005,40635710,7929159.385905199,487283,0.02897,54.202185069795874,16.272185538804347
Hoekhuis,1945 - 1964,34059905,12830813.225660019,298688,0.04688,104.64253452572932,42.95724376493203
Hoekhuis,1965 - 1984,71076426,23485748.109793,565545,0.08581,91.78597302271422,41.52763813629861
Hoekhuis,1985 - 2004,51070078,13949353.299144182,379666,0.05096,75.87261489738441,36.741117980393774
Hoekhuis,< 1945,42295031,15752701.57751943,303172,0.05755,103.4577900699456,51.95961888802208
Hoekhuis,>= 2005,26281732,5257993.058987654,178343,0.01921,55.57295947986117,29.482475112494765
Rijtjeshuis,1945 - 1964,31369734,10529469.319464998,309270,0.03847,93.23804239909326,34.046203380428096
Rijtjeshuis,1965 - 1984,102394457,29279513.07873714,874897,0.10697,79.43006209239415,33.466240115964666
Rijtjeshuis,1985 - 2004,72141608,17393709.747841023,600539,0.06355,66.97363941578556,28.963497371263188
Rijtjeshuis,< 1945,42161575,14029101.4612011,342512,0.05126,92.42948414786251,40.95944510324047
Rijtjeshuis,>= 2005,32507450,5810893.365465799,249763,0.02120999999999995,49.65437295028438,23.265629278419137
Vrijstaand huis,1945 - 1964,25666204,8862971.187633837,143081,0.03238,95.92133067318404,61.943732484633436
Vrijstaand huis,1965 - 1984,44424532,14311399.426461753,230912,0.05229,89.48633897983909,61.97772063150357
Vrijstaand huis,1985 - 2004,49404456,13747446.626652215,252508,0.05023,77.29535922974357,54.44360822885697
Vrijstaand huis,< 1945,59303224,18386003.310744736,285107,0.06717,86.12049729157285,64.48808100378011
Vrijstaand huis,>= 2005,26138750,5814948.605872406,117683,0.02125,61.79574392927067,49.41196779375446
