geo_id,Woningtype ETM,Bouwjaarklasse ETM,Woningkenmerken/oppervlakte,Functionele vraag/ruimteverwarming,# Aantal woningen,Functionele vraag ruimteverwarming (% van totaal),Gemiddelde netto warmtevraag (kWh/m2),Gemiddeld warmteverbruik (GJ/woning)
GM0014,Appartement,1945 - 1964,981436,449964.4,13043,0.11370581352054937,127.35431664531474,34.498535612972475
GM0014,Appartement,1965 - 1984,1299003,573968.8,16823,0.1450416729399337,122.73703584809103,34.11810021993699
GM0014,Appartement,1985 - 2004,692134,256755.40000000002,7854,0.06488198095848041,103.0449948195645,32.69103641456583
GM0014,Appartement,< 1945,1779442,756499.4,22091,0.1911670783395475,118.09248192535763,34.24468788194287
GM0014,Appartement,>= 2005,750450,341507.80000000005,10909,0.08629887658359878,126.40852525521726,31.30514254285453
GM0014,Hoekhuis,1945 - 1964,177665,46682.600000000006,1537,0.011796673270717413,72.98786417633687,30.37254391672089
GM0014,Hoekhuis,1965 - 1984,613020,162225.2,4848,0.04099423940990404,73.50911153886588,33.46229372937294
GM0014,Hoekhuis,1985 - 2004,538476,124207.9,3849,0.03138728378329273,64.07378312950705,32.27017407118732
GM0014,Hoekhuis,< 1945,407191,84472.4,2789,0.02134613974357361,57.62542776130993,30.287701685191823
GM0014,Hoekhuis,>= 2005,313830,61730.200000000004,2087,0.015599195424762975,54.63874638427741,29.578437949209395
GM0014,Rijtjeshuis,1945 - 1964,195665,56617.1,1690,0.01430711721788278,80.37703330806339,33.501242603550295
GM0014,Rijtjeshuis,1965 - 1984,1238585,346527.1,10088,0.08756725157016146,77.71572219732822,34.35042624900872
GM0014,Rijtjeshuis,1985 - 2004,734916,194638.09999999998,5844,0.04918496552748181,73.56778038427369,33.305629705681035
GM0014,Rijtjeshuis,< 1945,790024,220220.59999999998,6253,0.055649652454690834,77.43105132108504,35.218391172237325
GM0014,Rijtjeshuis,>= 2005,382376,89513.29999999999,2890,0.02261997304099833,65.02710827969211,30.97346020761245
GM0014,Vrijstaand huis,1945 - 1964,123474,20332.4,680,0.0051379888782873,45.74152363160575,29.90058823529412
GM0014,Vrijstaand huis,1965 - 1984,171326,24375.1,817,0.0061595774580049945,39.52033614927746,29.834883720930232
GM0014,Vrijstaand huis,1985 - 2004,320015,52791.4,1656,0.013340364446362267,45.82372006867734,31.87886473429952
GM0014,Vrijstaand huis,< 1945,508935,71069.0,2268,0.01795910623394189,38.78960749189757,31.335537918871253
GM0014,Vrijstaand huis,>= 2005,170482,23170.0,802,0.0058550491978279365,37.752437859193996,28.890274314214462
GM0034,Appartement,1965 - 1984,298209,136812.7,3881,0.04469061562958187,127.4392381778477,35.251919608348366
GM0034,Appartement,1985 - 2004,1016896,465575.0,13048,0.15208261639264906,127.17759622310332,35.6817136725935
