utc_timestamp,cet_cest_timestamp,FR_wind_onshore_generation_actual
2016-12-31T23:00:00Z,2017-01-01T00:00:00+0100,604
2017-01-01T00:00:00Z,2017-01-01T01:00:00+0100,633
2017-01-01T01:00:00Z,2017-01-01T02:00:00+0100,627
2017-01-01T02:00:00Z,2017-01-01T03:00:00+0100,609
2017-01-01T03:00:00Z,2017-01-01T04:00:00+0100,637
2017-01-01T04:00:00Z,2017-01-01T05:00:00+0100,663
2017-01-01T05:00:00Z,2017-01-01T06:00:00+0100,683
2017-01-01T06:00:00Z,2017-01-01T07:00:00+0100,749
2017-01-01T07:00:00Z,2017-01-01T08:00:00+0100,801
2017-01-01T08:00:00Z,2017-01-01T09:00:00+0100,832
2017-01-01T09:00:00Z,2017-01-01T10:00:00+0100,867
2017-01-01T10:00:00Z,2017-01-01T11:00:00+0100,907
2017-01-01T11:00:00Z,2017-01-01T12:00:00+0100,929
2017-01-01T12:00:00Z,2017-01-01T13:00:00+0100,949
2017-01-01T13:00:00Z,2017-01-01T14:00:00+0100,946
2017-01-01T14:00:00Z,2017-01-01T15:00:00+0100,918
2017-01-01T15:00:00Z,2017-01-01T16:00:00+0100,916
2017-01-01T16:00:00Z,2017-01-01T17:00:00+0100,966
2017-01-01T17:00:00Z,2017-01-01T18:00:00+0100,964
2017-01-01T18:00:00Z,2017-01-01T19:00:00+0100,965
2017-01-01T19:00:00Z,2017-01-01T20:00:00+0100,969
2017-01-01T20:00:00Z,2017-01-01T21:00:00+0100,923
2017-01-01T21:00:00Z,2017-01-01T22:00:00+0100,842
2017-01-01T22:00:00Z,2017-01-01T23:00:00+0100,776
2017-01-01T23:00:00Z,2017-01-02T00:00:00+0100,718
2017-01-02T00:00:00Z,2017-01-02T01:00:00+0100,700
2017-01-02T01:00:00Z,2017-01-02T02:00:00+0100,642
2017-01-02T02:00:00Z,2017-01-02T03:00:00+0100,609
2017-01-02T03:00:00Z,2017-01-02T04:00:00+0100,562
2017-01-02T04:00:00Z,2017-01-02T05:00:00+0100,546
2017-01-02T05:00:00Z,2017-01-02T06:00:00+0100,591
2017-01-02T06:00:00Z,2017-01-02T07:00:00+0100,609
2017-01-02T07:00:00Z,2017-01-02T08:00:00+0100,585
2017-01-02T08:00:00Z,2017-01-02T09:00:00+0100,564
2017-01-02T09:00:00Z,2017-01-02T10:00:00+0100,568
2017-01-02T10:00:00Z,2017-01-02T11:00:00+0100,586
2017-01-02T11:00:00Z,2017-01-02T12:00:00+0100,550
2017-01-02T12:00:00Z,2017-01-02T13:00:00+0100,543
2017-01-02T13:00:00Z,2017-01-02T14:00:00+0100,661
2017-01-02T14:00:00Z,2017-01-02T15:00:00+0100,756
2017-01-02T15:00:00Z,2017-01-02T16:00:00+0100,813
2017-01-02T16:00:00Z,2017-01-02T17:00:00+0100,930
2017-01-02T17:00:00Z,2017-01-02T18:00:00+0100,1226
2017-01-02T18:00:00Z,2017-01-02T19:00:00+0100,1411
2017-01-02T19:00:00Z,2017-01-02T20:00:00+0100,1448
2017-01-02T20:00:00Z,2017-01-02T21:00:00+0100,1383
2017-01-02T21:00:00Z,2017-01-02T22:00:00+0100,1279
2017-01-02T22:00:00Z,2017-01-02T23:00:00+0100,1236
2017-01-02T23:00:00Z,2017-01-03T00:00:00+0100,1209
2017-01-03T00:00:00Z,2017-01-03T01:00:00+0100,1165
2017-01-03T01:00:00Z,2017-01-03T02:00:00+0100,1119
2017-01-03T02:00:00Z,2017-01-03T03:00:00+0100,1062
2017-01-03T03:00:00Z,2017-01-03T04:00:00+0100,1055
2017-01-03T04:00:00Z,2017-01-03T05:00:00+0100,1058
2017-01-03T05:00:00Z,2017-01-03T06:00:00+0100,1064
2017-01-03T06:00:00Z,2017-01-03T07:00:00+0100,1140
2017-01-03T07:00:00Z,2017-01-03T08:00:00+0100,1196
2017-01-03T08:00:00Z,2017-01-03T09:00:00+0100,1272
2017-01-03T09:00:00Z,2017-01-03T10:00:00+0100,1289
2017-01-03T10:00:00Z,2017-01-03T11:00:00+0100,1142
2017-01-03T11:00:00Z,2017-01-03T12:00:00+0100,1090
2017-01-03T12:00:00Z,2017-01-03T13:00:00+0100,1164
2017-01-03T13:00:00Z,2017-01-03T14:00:00+0100,1209
2017-01-03T14:00:00Z,2017-01-03T15:00:00+0100,1244
2017-01-03T15:00:00Z,2017-01-03T16:00:00+0100,1342
2017-01-03T16:00:00Z,2017-01-03T17:00:00+0100,1553
2017-01-03T17:00:00Z,2017-01-03T18:00:00+0100,1865
2017-01-03T18:00:00Z,2017-01-03T19:00:00+0100,1991
2017-01-03T19:00:00Z,2017-01-03T20:00:00+0100,2146
2017-01-03T20:00:00Z,2017-01-03T21:00:00+0100,2198
2017-01-03T21:00:00Z,2017-01-03T22:00:00+0100,2288
2017-01-03T22:00:00Z,2017-01-03T23:00:00+0100,2478
2017-01-03T23:00:00Z,2017-01-04T00:00:00+0100,2563
2017-01-04T00:00:00Z,2017-01-04T01:00:00+0100,2626
2017-01-04T01:00:00Z,2017-01-04T02:00:00+0100,2650
2017-01-04T02:00:00Z,2017-01-04T03:00:00+0100,2584
2017-01-04T03:00:00Z,2017-01-04T04:00:00+0100,2692
2017-01-04T04:00:00Z,2017-01-04T05:00:00+0100,2697
2017-01-04T05:00:00Z,2017-01-04T06:00:00+0100,2697
2017-01-04T06:00:00Z,2017-01-04T07:00:00+0100,2751
2017-01-04T07:00:00Z,2017-01-04T08:00:00+0100,2864
2017-01-04T08:00:00Z,2017-01-04T09:00:00+0100,2805
2017-01-04T09:00:00Z,2017-01-04T10:00:00+0100,2889
2017-01-04T10:00:00Z,2017-01-04T11:00:00+0100,2988
2017-01-04T11:00:00Z,2017-01-04T12:00:00+0100,3059
2017-01-04T12:00:00Z,2017-01-04T13:00:00+0100,2994
2017-01-04T13:00:00Z,2017-01-04T14:00:00+0100,3107
2017-01-04T14:00:00Z,2017-01-04T15:00:00+0100,3232
2017-01-04T15:00:00Z,2017-01-04T16:00:00+0100,3201
2017-01-04T16:00:00Z,2017-01-04T17:00:00+0100,3141
2017-01-04T17:00:00Z,2017-01-04T18:00:00+0100,3144
2017-01-04T18:00:00Z,2017-01-04T19:00:00+0100,3095
2017-01-04T19:00:00Z,2017-01-04T20:00:00+0100,3011
2017-01-04T20:00:00Z,2017-01-04T21:00:00+0100,3068
2017-01-04T21:00:00Z,2017-01-04T22:00:00+0100,2951
2017-01-04T22:00:00Z,2017-01-04T23:00:00+0100,2897
2017-01-04T23:00:00Z,2017-01-05T00:00:00+0100,2824
2017-01-05T00:00:00Z,2017-01-05T01:00:00+0100,2774
2017-01-05T01:00:00Z,2017-01-05T02:00:00+0100,2749
2017-01-05T02:00:00Z,2017-01-05T03:00:00+0100,2638
2017-01-05T03:00:00Z,2017-01-05T04:00:00+0100,2533
